run	commit	execution_mode	validation_secs	scales	status
local-amd64-normalized-dual-lanes	9db6f8c499350d161afa03ea162bfd736a1d2e89	emulated-amd64	unknown	none	incomplete
local-amd64-normalized-dual-lanes-rerun	9db6f8c499350d161afa03ea162bfd736a1d2e89	emulated-amd64	unknown	1	incomplete
local-amd64-one-minute-gate-r1	4c4552293f9627c04aaee28378fba2f7fd549a1a	emulated-amd64	unknown	none	incomplete
local-amd64-one-minute-gate-r2	3f0ffae963f6d8f784e76916cfff4e79e1554aef	emulated-amd64	unknown	none	incomplete
local-amd64-one-minute-gate-r3	ae7223952bae84b050f397521df7b79f42c94d9d	emulated-amd64	unknown	1	incomplete
local-amd64-one-minute-gate-r4	dc838c8ecbbd0efddd13fe8feb2c4f59083a052e	emulated-amd64	unknown	1	incomplete
local-amd64-pinned-tls-no-h2-pacing-diag	b916a9c8c89d003b1fe660108f1298cf9c2a3472	emulated-amd64	unknown	1	incomplete
local-amd64-shared-data-runtime-diag	53f1729c822ebb8739e8a8646415fb63696ab4a0	emulated-amd64	unknown	1	incomplete
local-amd64-soft-h23200-equal35	6d17d786e6b6211a8a08e5f683e939d0619ccd60	emulated-amd64	unknown	1	incomplete
local-amd64-strict-weights	1816b0c93d31ef11a857428f4e9849b255f5d03c	emulated-amd64	unknown	none	incomplete
local-amd64-tls-pool-fastlane-diag	e9ad3dc7e7a9035fda0df70f214f073c58eb6ac5	emulated-amd64	unknown	1	incomplete
local-amd64-udp-shared-realtime-per-core-diag	b6adb769343d1ccd315716b36d5d6f0397c90dca	emulated-amd64	unknown	1	incomplete
local-amd64-udp-shared-tls-isolated-diag	dbfe1749735e7c7f06a01ffa0dfa2dc80e46e7ac	emulated-amd64	unknown	1	incomplete
local-amd64-weighted-tls-no-h2-pacing-diag	1409a53c69db5e01fae19ffdfb9f4b47fed8a6c0	emulated-amd64	unknown	1	incomplete
local-amd64-weighted-udp	a7e4d7f019e978c77b75dc7b96e97e3c15280c46	emulated-amd64	unknown	none	incomplete
local-amd64-worksteal	292610000069f6d6a2d7ec052d4941b883d22d73	emulated-amd64	unknown	none	incomplete
old-dbfe-current-harness	unknown	unknown	unknown	none	incomplete
